node_id,lat,lon,etiqueta,ncu,gw
TCU_SUNNER_ID_001,42.319999,-5.603763,TK001,3,1
TCU_SUNNER_ID_002,42.320001,-5.603678,TK002,3,1
TCU_SUNNER_ID_003,42.320003,-5.603593,TK003,3,1
TCU_SUNNER_ID_004,42.320004,-5.603508,TK004,3,1
TCU_SUNNER_ID_005,42.320567,-5.603467,TK005,3,1
TCU_SUNNER_ID_006,42.320006,-5.603423,TK006,3,1
TCU_SUNNER_ID_007,42.320569,-5.603382,TK007,3,1
TCU_SUNNER_ID_008,42.320008,-5.603338,TK008,3,1
TCU_SUNNER_ID_009,42.320571,-5.603297,TK009,3,1
TCU_SUNNER_ID_010,42.32001,-5.603253,TK010,3,1
TCU_SUNNER_ID_011,42.320573,-5.603213,TK011,3,1
TCU_SUNNER_ID_012,42.320012,-5.603169,TK012,3,1
TCU_SUNNER_ID_013,42.320575,-5.603128,TK013,3,1
TCU_SUNNER_ID_014,42.320014,-5.603084,TK014,3,1
TCU_SUNNER_ID_015,42.320577,-5.603043,TK015,3,1
TCU_SUNNER_ID_016,42.320016,-5.602999,TK016,3,1
TCU_SUNNER_ID_017,42.320579,-5.602958,TK017,3,1
TCU_SUNNER_ID_018,42.320018,-5.602914,TK018,3,1
TCU_SUNNER_ID_019,42.320581,-5.602873,TK019,3,1
TCU_SUNNER_ID_020,42.32002,-5.602829,TK020,3,1
TCU_SUNNER_ID_021,42.320583,-5.602788,TK021,3,1
TCU_SUNNER_ID_022,42.320022,-5.602744,TK022,3,1
TCU_SUNNER_ID_023,42.320585,-5.602703,TK023,3,1
TCU_SUNNER_ID_024,42.320024,-5.602659,TK024,3,1
TCU_SUNNER_ID_025,42.320587,-5.602619,TK025,3,1
TCU_SUNNER_ID_026,42.320026,-5.602575,TK026,3,1
TCU_SUNNER_ID_027,42.320589,-5.602534,TK027,3,1
TCU_SUNNER_ID_028,42.320028,-5.60249,TK028,3,1
TCU_SUNNER_ID_029,42.320591,-5.602449,TK029,3,1
TCU_SUNNER_ID_030,42.32003,-5.602405,TK030,3,1
TCU_SUNNER_ID_031,42.320592,-5.602364,TK031,3,1
TCU_SUNNER_ID_032,42.320031,-5.60232,TK032,3,1
TCU_SUNNER_ID_033,42.320594,-5.602279,TK033,3,1
TCU_SUNNER_ID_034,42.320033,-5.602235,TK034,3,1
TCU_SUNNER_ID_035,42.320596,-5.602194,TK035,3,1
TCU_SUNNER_ID_036,42.320035,-5.60215,TK036,3,1
TCU_SUNNER_ID_037,42.320598,-5.602109,TK037,3,1
TCU_SUNNER_ID_038,42.320037,-5.602065,TK038,3,1
TCU_SUNNER_ID_039,42.321162,-5.602048,TK039,3,1
TCU_SUNNER_ID_040,42.3206,-5.602025,TK040,3,1
TCU_SUNNER_ID_041,42.320039,-5.601981,TK041,3,1
TCU_SUNNER_ID_042,42.321164,-5.601963,TK042,3,1
TCU_SUNNER_ID_043,42.320602,-5.60194,TK043,3,1
TCU_SUNNER_ID_044,42.320041,-5.601896,TK044,3,1
TCU_SUNNER_ID_045,42.321166,-5.601878,TK045,3,1
TCU_SUNNER_ID_046,42.320604,-5.601855,TK046,3,1
TCU_SUNNER_ID_047,42.320043,-5.601811,TK047,3,1
TCU_SUNNER_ID_048,42.321167,-5.601793,TK048,3,1
TCU_SUNNER_ID_049,42.320606,-5.60177,TK049,3,1
TCU_SUNNER_ID_050,42.321169,-5.601708,TK050,3,1
TCU_SUNNER_ID_051,42.320608,-5.601685,TK051,3,1
