node_id,lat,lon,etiqueta,rol,enlace,ncu,gw,esclavo
TCU_SUNNER_ID_001,39.109934,-1.172649,TK 001-09,TCU,radio,14,1,1
TCU_SUNNER_ID_002,39.109864,-1.172512,TK 002-09,TCU,radio,14,1,2
TCU_SUNNER_ID_003,39.109774,-1.172376,TK 003-09,TCU,radio,14,1,3
TCU_SUNNER_ID_004,39.109581,-1.173177,TK 004-09,TCU,radio,14,1,4
TCU_SUNNER_ID_005,39.10954,-1.17304,TK 005-09,TCU,radio,14,1,5
TCU_SUNNER_ID_006,39.109504,-1.172902,TK 006-09,TCU,radio,14,1,6
TCU_SUNNER_ID_007,39.10861,-1.174462,TK 007-09,TCU,radio,14,1,7
TCU_SUNNER_ID_008,39.108604,-1.174323,TK 008-09,TCU,radio,14,1,8
TCU_SUNNER_ID_009,39.108544,-1.174186,TK 009-09,TCU,radio,14,1,9
TCU_SUNNER_ID_010,39.108542,-1.174047,TK 010-09,TCU,radio,14,1,10
TCU_SUNNER_ID_011,39.108705,-1.173904,TK 011-09,TCU,radio,14,1,11
TCU_SUNNER_ID_012,39.108196,-1.173918,TK 012-09,TCU,radio,14,1,12
TCU_SUNNER_ID_013,39.108703,-1.173766,TK 013-09,TCU,radio,14,1,13
TCU_SUNNER_ID_014,39.108111,-1.173781,TK 014-09,TCU,radio,14,1,14
TCU_SUNNER_ID_015,39.108867,-1.173623,TK 015-09,TCU,radio,14,1,15
TCU_SUNNER_ID_016,39.108192,-1.17364,TK 016-09,TCU,radio,14,1,16
TCU_SUNNER_ID_017,39.108865,-1.173484,TK 017-09,TCU,radio,14,1,17
TCU_SUNNER_ID_018,39.108189,-1.173501,TK 018-09,TCU,radio,14,1,18
TCU_SUNNER_ID_019,39.108863,-1.173345,TK 019-09,TCU,radio,14,1,19
TCU_SUNNER_ID_020,39.108187,-1.173363,TK 020-09,TCU,radio,14,1,20
TCU_SUNNER_ID_021,39.108861,-1.173206,TK 021-09,TCU,radio,14,1,21
TCU_SUNNER_ID_022,39.108185,-1.173224,TK 022-09,TCU,radio,14,1,22
TCU_SUNNER_ID_023,39.108185,-1.173085,TK 023-09,TCU,radio,14,1,23
TCU_SUNNER_ID_024,39.108098,-1.172949,TK 024-09,TCU,radio,14,1,24
REP_04,39.109475,-1.172557,REP 4,REP,radio,14,1,200
